time_published,confidence,sentiment_score
2026-02-12,1.0,-0.400605
2026-02-12,0.602912,0.165158
2026-02-12,0.737646,0.270827
2026-02-12,0.70067,0.317966
2026-02-12,0.720492,-0.132594
2026-02-12,1.0,0.429046
2026-02-12,0.966405,0.294262
2026-02-12,1.0,0.512184
2026-02-12,0.62865,0.34253
2026-02-12,0.600515,-0.133991
2026-02-12,1.0,0.521454
2026-02-12,1.0,0.313014
2026-02-12,0.337738,0.001782
2026-02-12,0.974143,0.742621
2026-02-12,0.608177,-0.209556
2026-02-12,0.629942,0.34783
2026-02-12,0.601592,0.144264
2026-02-12,0.613295,0.305098
2026-02-12,0.641082,0.137795
2026-02-12,0.707862,0.221384
2026-02-12,0.602766,-0.12088
2026-02-12,0.995325,0.493104
2026-02-12,0.736192,0.1061
2026-02-12,0.604947,0.302718
2026-02-12,0.630866,0.12316
2026-02-12,0.646709,0.309108
2026-02-12,0.605382,0.538551
2026-02-12,0.734284,0.103624
2026-02-12,0.712935,0.139315
2026-02-12,0.616093,0.214462
2026-02-12,0.727694,0.300831
2026-02-12,0.640596,0.118406
2026-02-12,0.611955,0.356473
2026-02-12,0.604779,0.122298
2026-02-11,1.0,-0.210531
2026-02-11,0.629285,0.1321
2026-02-11,0.564296,0.231966
2026-02-11,0.707176,-0.208688
2026-02-11,1.0,0.341436
2026-02-11,0.639163,0.110264
2026-02-11,0.929512,-0.232789
2026-02-11,0.565475,0.067337
2026-02-11,0.861216,-0.108471
2026-02-11,0.97591,0.432421
2026-02-11,0.823447,0.117524
2026-02-11,0.788112,-0.317692
2026-02-11,1.0,0.732226
2026-02-11,1.0,0.605565
2026-02-11,0.940397,0.041507
2026-02-11,1.0,0.064118
2026-02-11,0.748269,0.129532
2026-02-11,0.632241,0.135426
2026-02-11,1.0,0.338699
2026-02-11,0.637518,0.340859
2026-02-11,0.557406,0.122262
2026-02-11,1.0,-0.218137
2026-02-11,0.74815,-0.11567
2026-02-11,0.726036,-0.222945
2026-02-11,1.0,0.46323
2026-02-11,1.0,0.407906
2026-02-11,0.305997,0.005097
2026-02-11,0.324265,0.019134
2026-02-11,1.0,0.324979
2026-02-11,0.545323,-0.239679
2026-02-11,0.607939,0.342998
2026-02-11,0.57012,-0.118909
2026-02-11,1.0,0.237716
2026-02-11,1.0,0.12824
2026-02-11,0.642672,0.07148
2026-02-10,0.618856,0.44338
2026-02-10,0.620909,0.384483
2026-02-10,0.738342,0.332295
2026-02-10,0.908128,0.369427
2026-02-10,0.615376,-0.218608
2026-02-10,1.0,0.212428
2026-02-10,0.329652,0.019886
2026-02-10,0.94712,0.421461
2026-02-10,0.636514,0.310108
2026-02-10,1.0,0.627698
2026-02-10,0.731345,0.326658
2026-02-10,0.961346,-0.412711
2026-02-10,0.830882,0.316316
2026-02-10,0.71954,-0.10154
2026-02-10,0.696611,0.283685
2026-02-10,0.600186,0.218933
2026-02-10,0.59846,0.201249
2026-02-10,0.952921,0.123783
2026-02-10,0.60205,0.315342
2026-02-10,0.629292,0.328556
2026-02-10,0.93634,0.313607
2026-02-10,0.953702,0.470334
2026-02-10,0.591333,-0.101436
2026-02-10,0.741681,-0.110578
2026-02-10,1.0,0.215329
2026-02-10,1.0,0.455528
2026-02-10,1.0,0.070208
2026-02-10,1.0,0.196116
2026-02-10,0.645587,0.34197
2026-02-10,1.0,0.327266
2026-02-10,0.557898,-0.141463
2026-02-10,0.832877,0.294557
2026-02-10,1.0,0.424615
2026-02-10,0.726117,0.349567
2026-02-10,0.64563,0.302773
2026-02-10,0.709281,0.300252
2026-02-09,0.710253,0.313314
2026-02-09,0.721988,0.1457
2026-02-09,1.0,0.306621
2026-02-09,0.592212,0.089836
2026-02-09,0.639715,-0.349977
2026-02-09,0.991961,-0.251429
2026-02-09,0.571516,0.140681
2026-02-09,0.604244,0.311064
2026-02-09,1.0,-0.446134
2026-02-09,0.566743,-0.252348
2026-02-09,0.586903,0.112142
2026-02-09,0.615694,0.141663
2026-02-09,0.601067,-0.242653
2026-02-09,0.748127,0.409722
2026-02-09,0.611318,-0.306543
2026-02-09,0.90034,0.217601
2026-02-09,0.643459,0.247865
2026-02-09,1.0,0.116171
2026-02-09,0.612903,0.334743
2026-02-09,0.954433,0.33961
2026-02-09,0.581817,0.01431
2026-02-09,1.0,0.341438
2026-02-09,0.728481,0.115387
2026-02-09,0.607686,-0.420299
2026-02-09,0.706593,0.129826
2026-02-08,1.0,0.512572
2026-02-08,0.703824,-0.12735
2026-02-08,0.736375,0.101801
2026-02-08,1.0,0.406725
2026-02-08,0.630695,0.121733
2026-02-08,0.708782,0.257707
2026-02-08,1.0,0.286789
2026-02-08,0.648539,-0.135023
2026-02-08,1.0,0.403088
2026-02-08,0.70408,0.413299
2026-02-08,0.621134,0.223805
2026-02-08,0.550372,0.238464
2026-02-08,0.69814,0.307716
2026-02-08,0.650016,0.129356
2026-02-08,0.645616,0.102755
2026-02-08,0.610943,0.330963
2026-02-08,1.0,0.315787
2026-02-08,0.623959,0.320946
2026-02-08,0.937119,0.110233
2026-02-08,0.647049,-0.130178
2026-02-07,0.568469,0.237313
2026-02-07,0.600243,0.112242
2026-02-07,0.697514,0.375218
2026-02-07,0.643875,0.124612
2026-02-07,0.726882,0.336783
2026-02-07,0.721658,0.321776
2026-02-07,0.640895,-0.234186
2026-02-07,0.672058,-0.13937
2026-02-07,0.984302,0.144355
2026-02-07,1.0,0.446694
2026-02-07,1.0,0.322255
2026-02-07,0.701295,0.304067
2026-02-07,0.93964,0.021945
2026-02-07,0.754608,0.335266
2026-02-06,0.559752,0.208859
2026-02-06,0.785782,0.271323
2026-02-06,0.64107,0.127305
2026-02-06,1.0,0.426894
2026-02-06,0.786427,0.347701
2026-02-06,0.743379,-0.111668
2026-02-06,0.627493,0.30648
2026-02-06,1.0,-0.076956
2026-02-06,0.598089,0.278856
2026-02-06,0.539,0.254265
2026-02-06,1.0,0.246633
2026-02-06,0.646275,0.309261
2026-02-06,0.583309,0.10543
2026-02-06,1.0,0.635281
2026-02-06,0.648098,0.139486
2026-02-06,0.721565,0.148041
2026-02-06,1.0,0.326801
2026-02-06,1.0,0.262082
2026-02-06,1.0,0.710298
2026-02-06,1.0,0.408945
2026-02-06,1.0,0.308923
2026-02-06,1.0,0.455155
2026-02-06,0.59245,-0.101886
2026-02-06,0.720102,0.340816
2026-02-06,0.586197,-0.224958
2026-02-06,0.913948,-0.285983
2026-02-06,0.745751,-0.114245
2026-02-05,0.51208,-0.108426
2026-02-05,0.618868,0.325004
